Strain	Female	Male	C1M296443013	PH.BLUE	PH.MPH	EH.BLUE	EH.MPH
F01M01	F01	M01	TT	273.585486	62.53163483	101.550771	29.07382254
F01M02	F01	M02	TT	270.9233416	75.48455606	105.3529963	39.65927695
F01M03	F01	M03	CT	273.3865237	85.25426891	124.4042666	45.2310016
F01M04	F01	M04	TT	230.0860437	49.69851	87.48155325	25.46196771
F02M01	F02	M01	TT	289.7968244	72.24519518	112.087734	26.54546458
F02M02	F02	M02	TT	287.5076201	85.57105662	110.0657771	31.30673679
F02M03	F02	M03	CT	297.3014565	102.6714237	132.1205272	39.88194119
F02M04	F02	M04	TT	284.3451131	97.45980136	110.0508855	34.96597899
F03M01	F03	M01	TT	303.0380086	85.78961373	119.2409481	42.5310733
F03M02	F03	M02	TT	280.5730637	78.9397345	110.3010465	40.37440078
F03M03	F03	M03	CT	292.8330875	98.50628895	135.5475724	52.14138104
F03M04	F03	M04	TT	267.6256226	81.04354508	113.6832168	47.43070494
F04M01	F04	M01	TT	288.6705523	68.1470853	120.1430741	39.96139556
F04M02	F04	M02	TT	274.3968084	69.48840709	111.2970395	37.89859016
F04M03	F04	M03	CT	300.5427298	102.9408592	145.3250969	58.44710188
F04M04	F04	M04	TT	262.2468677	72.38971811	106.2627314	36.53841587
F05M01	F05	M01	CT	283.252878	72.6595058	103.9602707	33.22890967
F05M02	F05	M02	CT	270.7266376	75.74833112	99.99557487	36.04744298
F05M03	F05	M03	CC	267.5144581	79.84268225	116.6565607	39.2288831
F05M04	F05	M04	CT	255.137394	75.21033924	99.61541937	39.34142125
F09M01	F09	M01	TT	298.5390656	95.81175507	131.2483632	50.27034057
F09M02	F09	M02	TT	281.2854535	94.17320862	119.436416	45.2416225
F09M03	F09	M03	CT	285.9351346	106.1294205	145.4057338	57.73139462
F09M04	F09	M04	TT	263.8685538	91.80756069	109.8713793	39.35071962
F10M01	F10	M01	TT	277.6083484	102.0079132	108.2716688	49.49499875
F10M02	F10	M02	TT	254.4572769	94.47190742	92.17136834	40.17792747
F10M03	F10	M03	CT	263.3001473	110.6213085	124.6114851	59.13849849
F10M04	F10	M04	TT	227.5517717	82.61765394	86.4801848	38.16087769
F11M01	F11	M01	TT	272.7145177	68.01631497	112.9688636	35.53729363
F11M02	F11	M02	TT	267.3191685	78.2360315	111.4785026	40.83016183
F11M03	F11	M03	CT	273.5796173	91.80301105	133.4111295	49.28324303
F11M04	F11	M04	TT	228.9197495	54.88786424	98.65330225	31.67909522
F12M01	F12	M01	TT	301.6826492	96.69569265	120.9769452	42.72526982
F12M02	F12	M02	TT	288.6405531	99.26866227	119.2266704	47.7582242
F12M03	F12	M03	CT	286.1623489	104.0969888	138.6412945	53.69330256
F12M04	F12	M04	TT	271.4405186	97.11987949	118.0149876	50.22067516
F13M01	F13	M01	CT	304.9052388	88.0101283	126.7110696	51.90673668
F13M02	F13	M02	CT	307.396722	106.1166772	134.8842763	66.86317254
F13M03	F13	M03	CC	297.9069954	103.9334813	142.3176852	60.81703574
F13M04	F13	M04	CT	285.9943575	99.76556452	120.5770184	56.23004844
F14M01	F14	M01	TT	310.8498981	88.56239321	122.1573059	41.01312171
F14M02	F14	M02	TT	290.1752707	83.50283152	116.9428865	42.58193144
F14M03	F14	M03	CT	308.417852	109.0519435	151.7016489	63.86114821
F14M04	F14	M04	TT	281.8620673	90.24087982	115.8510526	45.16423132
F15M01	F15	M01	TT	268.9975756	77.56631927	98.39934358	35.70292566
F15M02	F15	M02	TT	248.1418227	72.32563212	87.98006785	32.06687907
F15M03	F15	M03	CT	251.5473812	83.03772132	112.1917649	42.79903042
F15M04	F15	M04	TT	233.2345367	72.46959782	82.79245087	30.55339586
F16M01	F16	M01	TT	306.2963192	69.46717168	128.2412385	35.87019849
F16M02	F16	M02	TT	291.2989804	70.08489864	119.0409616	33.4531507
F16M03	F16	M03	CT	293.946514	80.0389629	151.4284188	52.36106223
F16M04	F16	M04	TT	274.1200317	67.95720163	121.2985231	39.38484598
F17M01	F17	M01	TT	304.8684985	69.67089066	123.7154121	37.19581006
F17M02	F17	M02	TT	291.1708046	71.58826242	120.5302346	40.79386167
F17M03	F17	M03	CT	310.3331417	98.05713023	142.170438	48.95451936
F17M04	F17	M04	TT	286.6893745	82.15808411	121.8804439	45.8182048
F18M01	F18	M01	TT	292.3252113	80.95446725	120.3632366	38.91280296
F18M02	F18	M02	TT	277.3930557	81.63737741	118.3673965	43.70019206
F18M03	F18	M03	CT	291.0299114	102.5807638	149.6800917	61.53334148
F18M04	F18	M04	TT	268.7820478	88.07762126	115.0777171	44.08464639
F19M01	F19	M01	CT	307.7653731	107.3048106	133.5719103	47.73195939
